OBJECTID,VACCINATION_DATE,County,DailyFirstDose,CumulativeFirstDose,DailySecondDose,CumulativeSecondDose
1,1930/11/13 15:00:00+00,Kent,1,1,0,0
2,1966/02/12 15:00:00+00,Anne Arundel,1,1,0,0
3,1966/02/15 15:00:00+00,Anne Arundel,1,2,0,0
4,2019/12/26 15:00:00+00,Frederick,1,1,0,0
5,2020/01/01 15:00:00+00,Howard,1,1,0,0
6,2020/01/01 15:00:00+00,Unknown,2,2,0,0
7,2020/01/01 15:00:00+00,Worcester,2,2,0,0
8,2020/01/03 15:00:00+00,Montgomery,1,1,0,0
9,2020/01/05 15:00:00+00,Allegany,1,1,0,0
10,2020/01/06 15:00:00+00,Montgomery,1,2,0,0
11,2020/01/17 15:00:00+00,Montgomery,1,3,0,0
12,2020/01/21 15:00:00+00,Unknown,1,3,0,0
13,2020/01/22 15:00:00+00,Frederick,1,2,0,0
14,2020/01/23 15:00:00+00,Unknown,1,4,0,0
15,2020/01/25 15:00:00+00,Talbot,1,1,0,0
16,2020/01/26 15:00:00+00,Anne Arundel,1,3,0,0
17,2020/01/27 15:00:00+00,Anne Arundel,1,4,0,0
18,2020/01/27 15:00:00+00,Montgomery,1,4,0,0
19,2020/01/28 15:00:00+00,Baltimore,1,1,0,0
20,2020/01/30 15:00:00+00,Caroline,1,1,0,0
21,2020/01/31 15:00:00+00,Montgomery,1,5,0,0
22,2020/02/01 15:00:00+00,Washington,1,1,0,0
23,2020/02/02 15:00:00+00,Allegany,0,1,0,0
24,2020/02/03 15:00:00+00,Baltimore City,1,1,0,0
25,2020/02/04 15:00:00+00,Montgomery,0,5,1,1
26,2020/02/07 15:00:00+00,Unknown,1,5,0,0
27,2020/02/11 15:00:00+00,Anne Arundel,1,5,0,0
28,2020/02/12 15:00:00+00,Prince George's,1,1,0,0
29,2020/02/19 15:00:00+00,Unknown,0,5,1,1
30,2020/02/20 15:00:00+00,Anne Arundel,1,6,0,0
31,2020/02/23 15:00:00+00,Unknown,1,6,0,1
32,2020/04/01 15:00:00+00,Montgomery,1,6,0,1
33,2020/05/01 15:00:00+00,Montgomery,0,6,0,1
34,2020/08/14 15:00:00+00,Frederick,1,3,0,0
35,2020/08/14 15:00:00+00,Montgomery,1,7,0,1
36,2020/08/21 15:00:00+00,Frederick,1,4,0,0
37,2020/08/27 15:00:00+00,Frederick,1,5,0,0
38,2020/08/31 15:00:00+00,Frederick,1,6,0,0
39,2020/09/01 15:00:00+00,Cecil,1,1,0,0
40,2020/09/03 15:00:00+00,Prince George's,1,2,0,0
41,2020/09/04 15:00:00+00,Anne Arundel,1,7,0,0
42,2020/09/04 15:00:00+00,Baltimore,1,2,0,0
43,2020/09/05 15:00:00+00,Baltimore,1,3,0,0
44,2020/09/13 15:00:00+00,Anne Arundel,1,8,0,0
45,2020/09/15 15:00:00+00,Frederick,0,6,1,1
46,2020/09/16 15:00:00+00,Montgomery,0,7,1,2
47,2020/09/23 15:00:00+00,Frederick,0,6,1,2
48,2020/09/24 15:00:00+00,Frederick,0,6,1,3
49,2020/09/29 15:00:00+00,Frederick,0,6,1,4
50,2020/10/01 15:00:00+00,Baltimore,0,3,1,1
51,2020/10/01 15:00:00+00,Cecil,0,1,1,1
52,2020/10/03 15:00:00+00,Anne Arundel,0,8,1,1
53,2020/10/06 15:00:00+00,Baltimore,0,3,1,2
54,2020/10/07 15:00:00+00,Anne Arundel,0,8,1,2
55,2020/10/12 15:00:00+00,Montgomery,1,8,0,2
56,2020/10/16 15:00:00+00,Frederick,1,7,0,4
57,2020/10/17 15:00:00+00,Montgomery,1,9,0,2
58,2020/10/20 15:00:00+00,Garrett,1,1,0,0
59,2020/11/01 15:00:00+00,Wicomico,1,1,0,0
60,2020/11/04 15:00:00+00,Frederick,1,8,0,4
61,2020/11/06 15:00:00+00,Montgomery,1,10,0,2
62,2020/11/07 15:00:00+00,Anne Arundel,1,9,0,2
63,2020/12/01 15:00:00+00,Baltimore,1,4,0,2
64,2020/12/01 15:00:00+00,Carroll,1,1,0,0
65,2020/12/01 15:00:00+00,Frederick,1,9,0,4
66,2020/12/01 15:00:00+00,Montgomery,2,12,1,3
67,2020/12/01 15:00:00+00,Somerset,1,1,0,0
68,2020/12/01 15:00:00+00,Wicomico,1,2,0,0
69,2020/12/04 15:00:00+00,Baltimore,1,5,0,2
70,2020/12/11 15:00:00+00,Montgomery,1,13,0,3
71,2020/12/11 15:00:00+00,Unknown,1,7,0,1
72,2020/12/14 15:00:00+00,Anne Arundel,1,10,0,2
73,2020/12/14 15:00:00+00,Montgomery,1,14,0,3
74,2020/12/15 15:00:00+00,Baltimore,1,6,0,2
75,2020/12/15 15:00:00+00,Baltimore City,3,4,0,0
76,2020/12/15 15:00:00+00,Frederick,2,11,0,4
77,2020/12/15 15:00:00+00,Montgomery,1,15,0,3
78,2020/12/16 15:00:00+00,Anne Arundel,53,63,0,2
79,2020/12/16 15:00:00+00,Baltimore,121,127,0,2
80,2020/12/16 15:00:00+00,Baltimore City,163,167,0,0
81,2020/12/16 15:00:00+00,Calvert,1,1,0,0
82,2020/12/16 15:00:00+00,Caroline,2,3,0,0
83,2020/12/16 15:00:00+00,Carroll,5,6,0,0
84,2020/12/16 15:00:00+00,Cecil,3,4,0,1
85,2020/12/16 15:00:00+00,Charles,6,6,0,0
86,2020/12/16 15:00:00+00,Dorchester,5,5,0,0
87,2020/12/16 15:00:00+00,Frederick,1,12,0,4
88,2020/12/16 15:00:00+00,Harford,51,51,0,0
89,2020/12/16 15:00:00+00,Howard,54,55,0,0
90,2020/12/16 15:00:00+00,Montgomery,23,38,0,3
91,2020/12/16 15:00:00+00,Prince George's,12,14,0,0
92,2020/12/16 15:00:00+00,Queen Anne's,4,4,0,0
93,2020/12/16 15:00:00+00,St. Mary's,2,2,0,0
94,2020/12/16 15:00:00+00,Talbot,6,7,0,0
95,2020/12/16 15:00:00+00,Unknown,20,27,0,1
96,2020/12/16 15:00:00+00,Washington,3,4,0,0
