Year,State,Energy Source,Megawatthours
1990,AK,Coal,510573.0
1990,AK,Hydroelectric Conventional,974521.0
1990,AK,Natural Gas,3466261.0
1990,AK,Petroleum,497116.0
1990,AK,Wind,0.0
1990,AK,Wood and Wood Derived Fuels,151035.0
1990,AL,Coal,53658115.0
1990,AL,Hydroelectric Conventional,10366507.0
1990,AL,Natural Gas,1020714.0
1990,AL,Nuclear,12051882.0
1990,AL,Other Biomass,47503.0
1990,AL,Other Gases,269476.0
1990,AL,Petroleum,138089.0
1990,AL,Wood and Wood Derived Fuels,2099847.0
1990,AR,Coal,19207935.0
1990,AR,Hydroelectric Conventional,3654653.0
1990,AR,Natural Gas,3578573.0
1990,AR,Nuclear,11282053.0
1990,AR,Other Biomass,15389.0
1990,AR,Petroleum,79979.0
1990,AR,Pumped Storage,42972.0
1990,AR,Wood and Wood Derived Fuels,1238044.0
1990,AZ,Coal,31915610.0
1990,AZ,Hydroelectric Conventional,7417576.0
1990,AZ,Natural Gas,2333900.0
1990,AZ,Nuclear,20597689.0
1990,AZ,Petroleum,151867.0
1990,AZ,Pumped Storage,249767.0
1990,AZ,Wood and Wood Derived Fuels,107888.0
1990,CA,Coal,2637677.0
1990,CA,Geothermal,14521254.0
1990,CA,Hydroelectric Conventional,23792567.0
1990,CA,Natural Gas,74168308.0
1990,CA,Nuclear,32692807.0
1990,CA,Other,0.0
1990,CA,Other Biomass,2117915.0
1990,CA,Other Gases,2146742.0
1990,CA,Petroleum,5473852.0
1990,CA,Pumped Storage,986252.0
1990,CA,Solar Thermal and Photovoltaic,366668.0
1990,CA,Wind,2758881.0
1990,CA,Wood and Wood Derived Fuels,4121986.0
1990,CO,Coal,29814983.0
1990,CO,Hydroelectric Conventional,1419870.0
1990,CO,Natural Gas,1290092.0
1990,CO,Other Biomass,28990.0
1990,CO,Petroleum,27390.0
1990,CO,Pumped Storage,-33198.0
1990,CT,Coal,3594645.0
1990,CT,Hydroelectric Conventional,570619.0
1990,CT,Natural Gas,1251479.0
1990,CT,Nuclear,19776250.0
1990,CT,Other,0.0
1990,CT,Other Biomass,1073310.0
1990,CT,Other Gases,4.0
1990,CT,Petroleum,8874466.0
1990,CT,Pumped Storage,6474.0
1990,DC,Coal,0.0
1990,DC,Petroleum,361043.0
1990,DE,Coal,5113479.0
1990,DE,Natural Gas,763019.0
1990,DE,Other,6315.0
1990,DE,Other Gases,164881.0
1990,DE,Petroleum,1793806.0
1990,FL,Coal,60100257.0
1990,FL,Hydroelectric Conventional,174604.0
1990,FL,Natural Gas,18642683.0
1990,FL,Nuclear,21779560.0
1990,FL,Other,1453102.0
1990,FL,Other Biomass,1673078.0
1990,FL,Petroleum,25535138.0
1990,FL,Wood and Wood Derived Fuels,2144131.0
1990,GA,Coal,68545692.0
1990,GA,Hydroelectric Conventional,4589117.0
1990,GA,Natural Gas,830180.0
1990,GA,Nuclear,24796884.0
1990,GA,Other,1.0
1990,GA,Other Biomass,135457.0
1990,GA,Petroleum,499480.0
1990,GA,Pumped Storage,342110.0
1990,GA,Wood and Wood Derived Fuels,2947319.0
1990,HI,Coal,2381.0
1990,HI,Geothermal,0.0
1990,HI,Hydroelectric Conventional,79516.0
1990,HI,Other Biomass,840005.0
1990,HI,Other Gases,16163.0
1990,HI,Petroleum,8735862.0
1990,HI,Wind,28825.0
1990,IA,Coal,25751941.0
1990,IA,Hydroelectric Conventional,875114.0
1990,IA,Natural Gas,333390.0
1990,IA,Nuclear,3011572.0
1990,IA,Other Biomass,18018.0
1990,IA,Petroleum,54471.0
1990,ID,Coal,44371.0
1990,ID,Hydroelectric Conventional,9114990.0
1990,ID,Natural Gas,55714.0
1990,ID,Other,65203.0
1990,ID,Petroleum,994.0
1990,ID,Wood and Wood Derived Fuels,410203.0
1990,IL,Coal,54966018.0
1990,IL,Hydroelectric Conventional,143926.0
1990,IL,Natural Gas,1419891.0
1990,IL,Nuclear,71887302.0
1990,IL,Other Biomass,154855.0
1990,IL,Other Gases,381562.0
1990,IL,Petroleum,438584.0
1990,IL,Wood and Wood Derived Fuels,333.0
1990,IN,Coal,96925554.0
1990,IN,Hydroelectric Conventional,441021.0
1990,IN,Natural Gas,1470837.0
1990,IN,Other Biomass,37117.0
1990,IN,Other Gases,1674549.0
1990,IN,Petroleum,868038.0
1990,KS,Coal,23720258.0
1990,KS,Hydroelectric Conventional,13234.0
1990,KS,Natural Gas,2502807.0
1990,KS,Nuclear,7874487.0
1990,KS,Petroleum,74026.0
1990,KS,Wind,45.0
1990,KY,Coal,70500461.0
1990,KY,Hydroelectric Conventional,3160383.0
1990,KY,Natural Gas,27796.0
1990,KY,Petroleum,118646.0
1990,LA,Coal,17856687.0
1990,LA,Hydroelectric Conventional,656492.0
1990,LA,Natural Gas,39474866.0
1990,LA,Nuclear,14196784.0
1990,LA,Other,1292819.0
1990,LA,Other Biomass,91646.0
1990,LA,Other Gases,440700.0
1990,LA,Petroleum,232098.0
1990,LA,Wood and Wood Derived Fuels,2223538.0
1990,MA,Coal,11365893.0
1990,MA,Hydroelectric Conventional,1249242.0
1990,MA,Natural Gas,6132702.0
1990,MA,Nuclear,5069620.0
1990,MA,Other Biomass,1560515.0
1990,MA,Other Gases,830.0
1990,MA,Petroleum,15101792.0
1990,MA,Pumped Storage,-669583.0
1990,MA,Wood and Wood Derived Fuels,0.0
1990,MD,Coal,23509862.0
1990,MD,Hydroelectric Conventional,2298910.0
1990,MD,Natural Gas,1522443.0
1990,MD,Nuclear,1251416.0
1990,MD,Other Biomass,371074.0
1990,MD,Other Gases,488197.0
1990,MD,Petroleum,3571272.0
1990,MD,Wood and Wood Derived Fuels,149118.0
1990,ME,Coal,453218.0
1990,ME,Hydroelectric Conventional,4090536.0
1990,ME,Natural Gas,50786.0
1990,ME,Nuclear,4860727.0
1990,ME,Other Biomass,360798.0
1990,ME,Petroleum,3081100.0
1990,ME,Wood and Wood Derived Fuels,3048849.0
1990,MI,Coal,67066870.0
1990,MI,Hydroelectric Conventional,1627918.0
1990,MI,Natural Gas,7837956.0
1990,MI,Nuclear,21610500.0
1990,MI,Other Biomass,310842.0
1990,MI,Other Gases,340949.0
1990,MI,Petroleum,861725.0
1990,MI,Pumped Storage,-694986.0
1990,MI,Wood and Wood Derived Fuels,1097963.0
1990,MN,Coal,28176280.0
1990,MN,Hydroelectric Conventional,857046.0
1990,MN,Natural Gas,539839.0
1990,MN,Nuclear,12139302.0
1990,MN,Other Biomass,484811.0
1990,MN,Petroleum,447814.0
1990,MN,Wind,266.0
1990,MN,Wood and Wood Derived Fuels,425018.0
1990,MO,Coal,48796793.0
1990,MO,Hydroelectric Conventional,2192115.0
1990,MO,Natural Gas,312109.0
1990,MO,Nuclear,7998039.0
1990,MO,Petroleum,90033.0
1990,MO,Pumped Storage,-36259.0
1990,MS,Coal,9526527.0
1990,MS,Natural Gas,5919664.0
1990,MS,Nuclear,7422131.0
1990,MS,Petroleum,738971.0
1990,MS,Wood and Wood Derived Fuels,1594124.0
1990,MT,Coal,15119619.0
1990,MT,Hydroelectric Conventional,10716817.0
1990,MT,Natural Gas,55255.0
1990,MT,Petroleum,28982.0
1990,MT,Wind,0.0
1990,MT,Wood and Wood Derived Fuels,109099.0
1990,NC,Coal,49821595.0
1990,NC,Hydroelectric Conventional,6819427.0
1990,NC,Natural Gas,203465.0
1990,NC,Nuclear,25905319.0
1990,NC,Other,203406.0
1990,NC,Other Biomass,26270.0
1990,NC,Petroleum,328025.0
1990,NC,Pumped Storage,180046.0
1990,NC,Wood and Wood Derived Fuels,1438214.0
1990,ND,Coal,25189003.0
1990,ND,Hydroelectric Conventional,1711148.0
1990,ND,Natural Gas,51563.0
1990,ND,Petroleum,41547.0
1990,NE,Coal,12661150.0
1990,NE,Hydroelectric Conventional,1140093.0
1990,NE,Natural Gas,308065.0
1990,NE,Nuclear,7511298.0
1990,NE,Petroleum,12981.0
1990,NH,Coal,2959203.0
1990,NH,Hydroelectric Conventional,1881087.0
1990,NH,Natural Gas,0.0
1990,NH,Nuclear,4080691.0
1990,NH,Other Biomass,147524.0
1990,NH,Petroleum,2346493.0
1990,NH,Wood and Wood Derived Fuels,990198.0
1990,NJ,Coal,7057820.0
1990,NJ,Hydroelectric Conventional,31351.0
1990,NJ,Natural Gas,6914325.0
1990,NJ,Nuclear,23770387.0
1990,NJ,Other Biomass,246058.0
1990,NJ,Petroleum,2094969.0
1990,NJ,Pumped Storage,-149547.0
1990,NJ,Wood and Wood Derived Fuels,3471.0
1990,NM,Coal,25826928.0
1990,NM,Hydroelectric Conventional,205435.0
1990,NM,Natural Gas,2738087.0
1990,NM,Other Biomass,14128.0
1990,NM,Petroleum,35626.0
1990,NV,Coal,15053277.0
1990,NV,Geothermal,761192.0
1990,NV,Hydroelectric Conventional,1735081.0
1990,NV,Natural Gas,2217027.0
1990,NV,Petroleum,284108.0
1990,NY,Coal,25913047.0
1990,NY,Hydroelectric Conventional,28188222.0
1990,NY,Natural Gas,22724335.0
1990,NY,Nuclear,23623356.0
1990,NY,Other Biomass,1568979.0
1990,NY,Other Gases,89034.0
1990,NY,Petroleum,33884855.0
1990,NY,Pumped Storage,-1054095.0
1990,NY,Wood and Wood Derived Fuels,407959.0
1990,OH,Coal,115832650.0
1990,OH,Hydroelectric Conventional,181395.0
1990,OH,Natural Gas,241585.0
1990,OH,Nuclear,10663897.0
1990,OH,Other Biomass,304285.0
1990,OH,Other Gases,64159.0
1990,OH,Petroleum,374481.0
1990,OH,Wood and Wood Derived Fuels,318075.0
1990,OK,Coal,25655347.0
1990,OK,Hydroelectric Conventional,2730594.0
1990,OK,Natural Gas,18236766.0
1990,OK,Other Biomass,1780.0
1990,OK,Other Gases,88970.0
1990,OK,Petroleum,76947.0
1990,OK,Pumped Storage,19764.0
1990,OK,Wood and Wood Derived Fuels,268963.0
1990,OR,Coal,1317344.0
1990,OR,Hydroelectric Conventional,41240367.0
1990,OR,Natural Gas,819328.0
1990,OR,Nuclear,6073796.0
1990,OR,Other Biomass,90487.0
1990,OR,Petroleum,27777.0
1990,OR,Wind,539.0
1990,OR,Wood and Wood Derived Fuels,802598.0
1990,PA,Coal,106677155.0
1990,PA,Hydroelectric Conventional,2869192.0
1990,PA,Natural Gas,2833882.0
1990,PA,Nuclear,57787051.0
1990,PA,Other,732.0
1990,PA,Other Biomass,300109.0
1990,PA,Other Gases,841604.0
1990,PA,Petroleum,4654522.0
1990,PA,Pumped Storage,-879249.0
1990,PA,Wood and Wood Derived Fuels,538313.0
1990,RI,Coal,0.0
1990,RI,Hydroelectric Conventional,9946.0
1990,RI,Natural Gas,876943.0
1990,RI,Other Biomass,34756.0
1990,RI,Petroleum,185671.0
1990,SC,Coal,23411867.0
1990,SC,Hydroelectric Conventional,3298066.0
1990,SC,Natural Gas,787535.0
1990,SC,Nuclear,42880669.0
1990,SC,Other Biomass,49561.0
1990,SC,Petroleum,172575.0
1990,SC,Pumped Storage,-506389.0
1990,SC,Wood and Wood Derived Fuels,1269290.0
1990,SD,Coal,2472514.0
1990,SD,Hydroelectric Conventional,3934402.0
1990,SD,Natural Gas,12408.0
1990,SD,Petroleum,8149.0
1990,TN,Coal,51825606.0
1990,TN,Hydroelectric Conventional,10015363.0
1990,TN,Natural Gas,224146.0
1990,TN,Nuclear,14002591.0
1990,TN,Other,45000.0
1990,TN,Other Biomass,44919.0
1990,TN,Other Gases,4210.0
1990,TN,Petroleum,137067.0
1990,TN,Pumped Storage,-478151.0
1990,TN,Wood and Wood Derived Fuels,366858.0
1990,TX,Coal,120921396.0
1990,TX,Hydroelectric Conventional,1793625.0
1990,TX,Natural Gas,136234325.0
1990,TX,Nuclear,15859258.0
1990,TX,Other,488731.0
1990,TX,Other Biomass,333132.0
1990,TX,Other Gases,2997509.0
1990,TX,Petroleum,1827803.0
1990,TX,Solar Thermal and Photovoltaic,385.0
