OBJECTID,VACCINATION_DATE,RACE_CODE,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative
1,1971/02/27 15:00:00+00,White,1,1,0,0
2,2012/01/26 15:00:00+00,White,1,2,0,0
3,2012/02/02 15:00:00+00,White,1,3,0,0
4,2012/02/03 15:00:00+00,White,1,4,0,0
5,2019/02/01 15:00:00+00,White,1,5,1,1
6,2020/01/01 15:00:00+00,Asian,1,1,1,1
7,2020/01/01 15:00:00+00,White,2,7,0,1
8,2020/01/03 15:00:00+00,White,1,8,0,1
9,2020/01/04 15:00:00+00,White,1,9,1,2
10,2020/01/05 15:00:00+00,Asian,1,2,0,1
11,2020/01/05 15:00:00+00,White,1,10,0,2
12,2020/01/06 15:00:00+00,Other Race,1,1,0,0
13,2020/01/06 15:00:00+00,White,1,11,0,2
14,2020/01/15 15:00:00+00,White,1,12,0,2
15,2020/01/16 15:00:00+00,White,1,13,0,2
16,2020/01/17 15:00:00+00,Other Race,1,2,0,0
17,2020/01/21 15:00:00+00,White,1,14,0,2
18,2020/01/22 15:00:00+00,White,1,15,1,3
19,2020/01/22 15:00:00+00,Black or African American,1,1,0,0
20,2020/01/23 15:00:00+00,Other Race,1,3,0,0
21,2020/01/27 15:00:00+00,White,1,16,0,3
22,2020/01/30 15:00:00+00,White,0,16,1,4
23,2020/01/30 15:00:00+00,Black or African American,1,2,1,1
24,2020/01/31 15:00:00+00,Asian,1,3,0,1
25,2020/02/01 15:00:00+00,White,1,17,1,5
26,2020/02/02 15:00:00+00,White,0,17,1,6
27,2020/02/03 15:00:00+00,White,1,18,0,6
28,2020/02/04 15:00:00+00,White,0,18,1,7
29,2020/02/06 15:00:00+00,Black or African American,1,3,0,1
30,2020/02/07 15:00:00+00,White,1,19,1,8
31,2020/02/16 15:00:00+00,White,1,20,1,9
32,2020/02/19 15:00:00+00,Other Race,0,3,1,1
33,2020/02/23 15:00:00+00,White,2,22,0,9
34,2020/02/24 15:00:00+00,White,3,25,1,10
35,2020/03/01 15:00:00+00,White,2,27,1,11
36,2020/03/17 15:00:00+00,White,1,28,0,11
37,2020/04/01 15:00:00+00,White,1,29,0,11
38,2020/05/01 15:00:00+00,White,0,29,1,12
39,2020/08/04 15:00:00+00,White,1,30,0,12
40,2020/08/10 15:00:00+00,White,1,31,0,12
41,2020/08/14 15:00:00+00,White,2,33,0,12
42,2020/08/21 15:00:00+00,White,1,34,0,12
43,2020/08/27 15:00:00+00,White,1,35,0,12
44,2020/08/31 15:00:00+00,White,1,36,1,13
45,2020/09/01 15:00:00+00,White,1,37,0,13
46,2020/09/03 15:00:00+00,Asian,1,4,0,1
47,2020/09/04 15:00:00+00,White,1,38,0,13
48,2020/09/04 15:00:00+00,Black or African American,1,4,0,1
49,2020/09/05 15:00:00+00,Black or African American,1,5,0,1
50,2020/09/08 15:00:00+00,White,1,39,0,13
51,2020/09/13 15:00:00+00,White,1,40,0,13
52,2020/09/15 15:00:00+00,White,0,40,2,15
53,2020/09/16 15:00:00+00,White,0,40,1,16
54,2020/09/19 15:00:00+00,White,1,41,0,16
55,2020/09/19 15:00:00+00,Black or African American,1,6,0,1
56,2020/09/20 15:00:00+00,White,1,42,0,16
57,2020/09/21 15:00:00+00,Other Race,1,4,0,1
58,2020/09/22 15:00:00+00,White,1,43,0,16
59,2020/09/23 15:00:00+00,White,0,43,1,17
60,2020/09/24 15:00:00+00,White,0,43,1,18
61,2020/09/28 15:00:00+00,White,0,43,1,19
62,2020/09/29 15:00:00+00,White,0,43,1,20
63,2020/09/29 15:00:00+00,American Indian or Alaska Native,1,1,0,0
64,2020/10/01 15:00:00+00,Black or African American,0,6,1,2
65,2020/10/01 15:00:00+00,White,1,44,2,22
66,2020/10/02 15:00:00+00,Other Race,1,5,0,1
67,2020/10/03 15:00:00+00,White,0,44,1,23
68,2020/10/05 15:00:00+00,Black or African American,1,7,0,2
69,2020/10/06 15:00:00+00,Black or African American,0,7,1,3
70,2020/10/07 15:00:00+00,White,0,44,1,24
71,2020/10/13 15:00:00+00,Other Race,1,6,0,1
72,2020/10/15 15:00:00+00,Black or African American,1,8,1,4
73,2020/10/17 15:00:00+00,Black or African American,0,8,1,5
74,2020/10/17 15:00:00+00,Other Race,1,7,0,1
75,2020/10/20 15:00:00+00,White,0,44,1,25
76,2020/10/20 15:00:00+00,Other Race,0,7,1,2
77,2020/10/24 15:00:00+00,White,0,44,1,26
78,2020/10/26 15:00:00+00,White,0,44,1,27
79,2020/11/02 15:00:00+00,White,1,45,1,28
80,2020/11/06 15:00:00+00,Other Race,1,8,1,3
81,2020/11/06 15:00:00+00,White,1,46,0,28
82,2020/11/07 15:00:00+00,Black or African American,1,9,0,5
83,2020/11/11 15:00:00+00,Other Race,0,8,1,4
84,2020/11/12 15:00:00+00,Other Race,0,8,1,5
85,2020/12/01 15:00:00+00,White,4,50,1,29
