Sec_Production_Company,budget,Profit,popularity
1984 Private Defense Contractors,25000000.0,52278331.0,48.552871
21 Laps Entertainment,110000000.0,189268508.0,37.195046000000005
21st Century Film Production,0.0,0.0,1.088501
3 Arts Entertainment,50000000.0,19411370.0,42.526529
3Mark Entertainment,7000000.0,-2279629.0,2.206097
40 Acres & A Mule Filmworks,20000000.0,7728118.0,2.027393
4Go West Productions,0.0,0.0,1.002585
A Band Apart,30000000.0,136554230.5,65.1887865
A. Film,0.0,0.0,1.7766240000000002
APJAC Productions,2100000.0,8924452.5,18.5691465
Across the River Productions,15000000.0,29862187.0,19.284129
Affirm Films,20000000.0,26069568.0,16.663797
After Dark Films,55000000.0,-45510171.0,22.503935000000002
Alcon Entertainment,105000000.0,28718711.0,33.507289
Alex Entertainment Inc.,14000000.0,-14000000.0,3.419685
Alive Films,4000000.0,9008928.0,29.852608
Amblin Entertainment,83800000.0,419898473.0,114.9830924
Amen Ra Films,20000000.0,-7601372.0,17.227376
American International Pictures (AIP),0.0,0.0,2.637355
Anarchos Productions,40000000.0,20462347.0,19.085403
Andrea Sperling Productions,3500000.0,-3500000.0,6.396936
Anonymous Content,20000000.0,-7360703.0,29.371987
Apatow Productions,27000000.0,74624843.0,41.832392
Apjac International,1700000.0,7144595.0,13.315382999999999
Arka Media Works,40000000.0,60000000.0,16.254032000000002
Arnold Kopelson Productions,50000000.0,-39458477.0,3.314004
Art Linson Productions,0.0,43312294.0,20.632673
Artisan Entertainment,7500000.0,-3165419.0,6.5258650000000005
Atlas Entertainment,141250000.0,270155707.5,69.35203025
Atmosphere Entertainment MM,50000000.0,72915111.0,44.478043
August Entertainment,12500000.0,-218449.0,35.268557
BB Film Productions,3000000.0,-3000000.0,2.680629
Backup Films,18000000.0,-16168652.0,9.244181
Bad Robot,105000000.0,152117921.0,56.1476545
Bandito Brothers,12000000.0,69272766.0,21.958054999999998
Baumgarten-Prophet Entertainment,45000000.0,-34332107.0,14.566664000000001
Bavaria Film,35000000.0,-35000000.0,5.419181
Bazelevs Production,69000000.0,43265139.0,38.634767
Beacon Communications,92500000.0,171072726.0,28.5204465
Beijing New Picture Film Co. Ltd.,110.0,-110.0,9.950505
Bel Air Entertainment,85000000.0,-6617567.0,18.827753
BenderSpink,31500000.0,-16791304.0,27.891012
Beverly Ridge Pictures,3200000.0,-3200000.0,1.034844
Big Idea Productions,0.0,0.0,1.446172
Bliss Media,27000000.0,-27000000.0,2.418535
Block 2 Pictures,3860000.0,60216736.0,19.947264999999998
Blue Trail Entertainment,0.0,0.0,0.076647
Blue Tulip Productions,90000000.0,-5066144.5,33.951741999999996
Boll KG,25000000.0,-22594580.0,7.008216
Born of War,0.0,0.0,1.136568
Brian Grazer/Scott Rudin Productions,80000000.0,229492681.0,16.411345
Brightlight Pictures,6666666.666666667,-3185730.6666666665,6.958693666666666
Bristol Bay Productions,130000000.0,-10730514.0,21.605567999999998
